"","...1","hit_id","query_id","biosample_id","closest_ref","distance","SRM_present","single_closest_ref","na.rm"
"23",23,"QWCE01.3417.1_6/11-266","QWCE01","SAMN09866716","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"24",24,"QWCE01.148739.1_1/3-193","QWCE01","SAMN09866716","['Gordonibacter_pamelaeae__GrdPame5']",0.277239376715172,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"25",25,"QWCE01.143185.1_1/1-188","QWCE01","SAMN09866716","['Gordonibacter_pamelaeae__GrdPame5']",0.379795376715171,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"26",26,"QWCE01.34300.1_3/4-136","QWCE01","SAMN09866716","['QUERY___Thermodesulfobium_narugense_dsrA']",1.383714,TRUE,"QUERY___Thermodesulfobium_narugense_dsrA",TRUE
"27",27,"OWCY01.6912.1_3/63-436","OWCY01","SAMEA3708620","['Desulfovibrio_piger__DslPige2']",0.021585189917109,TRUE,"Desulfovibrio_piger__DslPige2",TRUE
"28",28,"OWCY01.6912.1_2/11-266","OWCY01","SAMEA3708620","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.02778,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"29",29,"OWCY01.44532.1_1/11-266","OWCY01","SAMEA3708620","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"30",30,"ORRJ01.13417.1_2/63-436","ORRJ01","SAMEA2338649","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.02452,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"31",31,"ORRJ01.22585.1_1/1-245","ORRJ01","SAMEA2338649","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.033423,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"32",32,"UERO01.20183.1_1/64-437","UERO01","SAMN06115397","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"33",33,"UERO01.11922.1_1/1-118","UERO01","SAMN06115397","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.022917,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"34",34,"UERO01.20183.1_2/11-91","UERO01","SAMN06115397","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.185887,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"35",35,"OPAP01.30399.1_1/1-90","OPAP01","SAMEA1967055","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"36",36,"OURY01.49778.1_1/1-252","OURY01","SAMEA2338638","['Anaerobic_bacterium_sk.prop8__Bv2Prop2']",1.16584898423978,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2",TRUE
"37",37,"OYXC01.9658.1_1/11-266","OYXC01","SAMN06165016","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.037144,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"38",38,"OYXC01.9658.1_2/1-228","OYXC01","SAMN06165016","['QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"39",39,"USZA01.13236.1_3/38-305","USZA01","SAMN06112073","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.047753,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"40",40,"USZA01.18536.1_1/63-204","USZA01","SAMN06112073","['QUERY___Ley3_66761_scaffold_1025_dsrA', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",NA,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"41",41,"USZA01.41154.1_2/6-173","USZA01","SAMN06112073","['Desulfitibacter_alkalitolerans__DfiAlka2']",1.18853979648578,TRUE,"Desulfitibacter_alkalitolerans__DfiAlka2",TRUE
"42",42,"USZA01.16685.1_1/1-148","USZA01","SAMN06112073","['QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"43",43,"USZA01.41154.1_1/3-156","USZA01","SAMN06112073","['Anaerobic_bacterium_sk.prop8__Bv2Prop2']",NA,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2",TRUE
"44",44,"USZA01.130730.1_2/1-109","USZA01","SAMN06112073","['Anaerobic_bacterium_sk.prop8__Bv2Prop2']",1.04823298423978,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2",TRUE
"45",45,"UZLQ01.611.1_10/64-437","UZLQ01","SAMN00715227","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"46",46,"UZLQ01.611.1_9/1-253","UZLQ01","SAMN00715227","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"47",47,"UPRH01.19723.1_1/11-266","UPRH01","SAMEA2737760","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"48",48,"UPMW01.3186.1_8/63-436","UPMW01","SAMEA2737879","['uncultured_bacterium__EF645667']",0.0856336056413982,TRUE,"uncultured_bacterium__EF645667",TRUE
"49",49,"UPMW01.3186.1_7/11-266","UPMW01","SAMEA2737879","['uncultured_bacterium__EF645667']",0.143411722311175,TRUE,"uncultured_bacterium__EF645667",TRUE
"50",50,"OYQB01.459.1_1/46-393","OYQB01","SAMN06165467","['Anaerobic_bacterium_sk.prop8__Bv2Prop2']",1.11700798423978,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2",TRUE
"51",51,"OYQB01.459.1_2/7-240","OYQB01","SAMN06165467","['Desulfitibacter_alkalitolerans__DfiAlka2']",0.908308796485778,TRUE,"Desulfitibacter_alkalitolerans__DfiAlka2",TRUE
"52",52,"OYQB01.5101.1_1/1-213","OYQB01","SAMN06165467","['Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",NA,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"53",53,"CAAELL01.26.1_14/62-435","CAAELL01","SAMEA5280031","['QUERY___Ley3_66761_scaffold_1830_dsrB']",0.380668,TRUE,"QUERY___Ley3_66761_scaffold_1830_dsrB",TRUE
"54",54,"CAAELL01.26.1_13/11-266","CAAELL01","SAMEA5280031","['QUERY___Ley3_66761_scaffold_1830_dsrB']",0.494987,TRUE,"QUERY___Ley3_66761_scaffold_1830_dsrB",TRUE
"55",55,"UPMM01.15656.1_2/63-436","UPMM01","SAMEA2737839","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.0639740545663892,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"56",56,"UPMM01.15656.1_1/11-112","UPMM01","SAMEA2737839","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.02749,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"57",57,"ORIF01.8853.1_1/63-390","ORIF01","SAMN04329858","['QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"58",58,"ORIF01.8035.1_2/50-394","ORIF01","SAMN04329858","['Anaerobic_bacterium_sk.prop8__Bv2Prop2']",1.13126398423978,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2",TRUE
"59",59,"ORIF01.7405.1_1/8-243","ORIF01","SAMN04329858","['Desulfitibacter_alkalitolerans__DfiAlka2']",0.954816796485778,TRUE,"Desulfitibacter_alkalitolerans__DfiAlka2",TRUE
"60",60,"OYKH01.90.1_2/39-412","OYKH01","SAMN06165444","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"61",61,"OYKH01.90.1_1/11-266","OYKH01","SAMN06165444","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"62",62,"OYKH01.3199.1_1/23-192","OYKH01","SAMN06165444","['Anaerobic_bacterium_sk.prop8__Bv2Prop2', 'QUERY___Peptococcaceae_bacterium_CEB3_dsrB']",NA,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2",TRUE
"63",63,"OYKH01.1193.1_1/1-93","OYKH01","SAMN06165444","['Desulfitibacter_alkalitolerans__DfiAlka2']",NA,TRUE,"Desulfitibacter_alkalitolerans__DfiAlka2",TRUE
"64",64,"OYKH01.1882.1_2/1-127","OYKH01","SAMN06165444","['Anaerobic_bacterium_sk.prop8__Bv2Prop2']",NA,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2",TRUE
"65",65,"OYKH01.1882.1_1/6-125","OYKH01","SAMN06165444","['Desulfitibacter_alkalitolerans__DfiAlka2']",NA,TRUE,"Desulfitibacter_alkalitolerans__DfiAlka2",TRUE
"66",66,"ULQH01.22774.1_1/1-246","ULQH01","SAMEA4835653","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",NA,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"67",67,"UMCV01.52177.1_1/1-141","UMCV01","SAMEA4835976","['QUERY___Ley3_66761_scaffold_1830_dsrB', 'QUERY___Ley3_66761_scaffold_1025_dsrA', 'Desulfovibrio_piger__DslPige2']",NA,TRUE,"Desulfovibrio_piger__DslPige2",TRUE
"68",68,"CABRAA01.133.1_7/53-398","CABRAA01","SAMEA5850570","['Anaerobic_bacterium_sk.prop8__Bv2Prop2']",1.37982198423978,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2",TRUE
"69",69,"CABRAA01.133.1_8/5-240","CABRAA01","SAMEA5850570","['Desulfitibacter_alkalitolerans__DfiAlka2']",1.14230779648578,TRUE,"Desulfitibacter_alkalitolerans__DfiAlka2",TRUE
"70",70,"UPLS01.22663.1_4/63-190","UPLS01","SAMEA2737864","['QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"71",71,"OXJK01.30384.1_1/2-184","OXJK01","SAMN05826969","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",NA,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"72",72,"UPQN01.3.1_186/62-435","UPQN01","SAMEA2737804","['QUERY___Ley3_66761_scaffold_1830_dsrB']",0.374368,TRUE,"QUERY___Ley3_66761_scaffold_1830_dsrB",TRUE
"73",73,"UPQN01.3.1_187/11-266","UPQN01","SAMEA2737804","['QUERY___Ley3_66761_scaffold_1830_dsrB']",0.506418,TRUE,"QUERY___Ley3_66761_scaffold_1830_dsrB",TRUE
"74",74,"UPQN01.66372.1_1/8-172","UPQN01","SAMEA2737804","['Bilophila_sp._4_1_30__BilSpec3']",0.0131378645937054,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"75",75,"USWG01.18375.1_1/2-243","USWG01","SAMN06111996","['Bilophila_sp._4_1_30__BilSpec3']",0.0208468645937054,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"76",76,"USWG01.37789.1_1/64-205","USWG01","SAMN06111996","['Bilophila_wadsworthia__BilWads6', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_sp._4_1_30__BilSpec3', 'QUERY___Ley3_66761_scaffold_1830_dsrB', 'QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"77",77,"UZHZ01.1361.1_5/64-437","UZHZ01","SAMN00791913","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"78",78,"UZHZ01.1361.1_6/11-266","UZHZ01","SAMN00791913","['Bilophila_sp._4_1_30__BilSpec3']",0.00166686459370536,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"79",79,"WGVM01.188.1_1/63-417","WGVM01","SAMN12905038","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.024679,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"80",80,"OZKV01.8779.1_1/64-430","OZKV01","SAMN06165244","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.051248,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"81",81,"OZZL01.7074.1_1/28-293","OZZL01","SAMN06165153","['QUERY___Moorella_thermoacetica_2_dsrA']",4.430594,TRUE,"QUERY___Moorella_thermoacetica_2_dsrA",TRUE
"82",82,"CAJLMI01.293.1_1/1-341","CAJLMI01","SAMEA7847400","['Anaerobic_bacterium_sk.prop8__Bv2Prop2']",1.16306098423978,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2",TRUE
"83",83,"CAJLMI01.293.1_2/7-240","CAJLMI01","SAMEA7847400","['Desulfitibacter_alkalitolerans__DfiAlka2']",0.941330796485778,TRUE,"Desulfitibacter_alkalitolerans__DfiAlka2",TRUE
"84",84,"OYGB01.157.1_1/92-465","OYGB01","SAMN06165590","['uncultured_bacterium__EF645667']",0.0856336056413982,TRUE,"uncultured_bacterium__EF645667",TRUE
"85",85,"OYGB01.116.1_5/55-399","OYGB01","SAMN06165590","['Anaerobic_bacterium_sk.prop8__Bv2Prop2']",1.37291798423978,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2",TRUE
"86",86,"OYGB01.157.1_2/11-266","OYGB01","SAMN06165590","['uncultured_bacterium__EF645667']",0.143411722311175,TRUE,"uncultured_bacterium__EF645667",TRUE
"87",87,"OYGB01.116.1_4/5-240","OYGB01","SAMN06165590","['Desulfitibacter_alkalitolerans__DfiAlka2']",1.30205979648578,TRUE,"Desulfitibacter_alkalitolerans__DfiAlka2",TRUE
"88",88,"OYGB01.5309.1_2/1-128","OYGB01","SAMN06165590","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6', 'QUERY___Ley3_66761_scaffold_1830_dsrB']",NA,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"89",89,"OQPZ01.68446.1_1/2-197","OQPZ01","SAMN02712189","['Bilophila_sp._4_1_30__BilSpec3']",0.0466498645937054,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"90",90,"OWBQ01.8.1_53/62-435","OWBQ01","SAMEA3708561","['QUERY___Ley3_66761_scaffold_1830_dsrB']",0.372045,TRUE,"QUERY___Ley3_66761_scaffold_1830_dsrB",TRUE
"91",91,"OWBQ01.8.1_52/11-266","OWBQ01","SAMEA3708561","['QUERY___Ley3_66761_scaffold_1830_dsrB']",0.506418,TRUE,"QUERY___Ley3_66761_scaffold_1830_dsrB",TRUE
"92",92,"OPWH01.12327.1_1/62-157","OPWH01","SAMEA2043049","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.031129,TRUE,"QUERY___Bilophila_wadsworthia_dsrA",TRUE
"93",93,"OWQQ01.8304.1_2/63-436","OWQQ01","SAMEA4378285","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.0558060545663892,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"94",94,"OWQQ01.8304.1_3/11-266","OWQQ01","SAMEA4378285","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.018487,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"95",95,"OYKR01.283.1_2/97-470","OYKR01","SAMN06165504","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"96",96,"OYKR01.283.1_1/11-266","OYKR01","SAMN06165504","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"97",97,"ORRD01.1201.1_14/52-400","ORRD01","SAMEA2338677","['Gordonibacter_pamelaeae__GrdPame5']",0.911729376715172,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"98",98,"UZNL01.14334.1_1/62-250","UZNL01","SAMN00715143","['Candidatus_Desulfovibrio_trichonymphae']",0.338026055222888,TRUE,"Candidatus_Desulfovibrio_trichonymphae",TRUE
"99",99,"ULSH01.35401.1_1/2-238","ULSH01","SAMEA4835702","['QUERY___Ley3_66761_scaffold_1830_dsrB']",NA,TRUE,"QUERY___Ley3_66761_scaffold_1830_dsrB",TRUE
"100",100,"UYDM01.8511.1_2/63-436","UYDM01","SAMEA2151439","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.0708290545663892,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"101",101,"UYDM01.8511.1_3/11-266","UYDM01","SAMEA2151439","['QUERY___Ley3_66761_scaffold_1830_dsrB']",0.05775,TRUE,"QUERY___Ley3_66761_scaffold_1830_dsrB",TRUE
"102",102,"OQQY01.70848.1_1/1-202","OQQY01","SAMN02711295","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",NA,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"103",103,"OQQY01.63187.1_2/11-158","OQQY01","SAMN02711295","['Bilophila_sp._4_1_30__BilSpec3']",0.0321058645937054,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"104",104,"OQQY01.71910.1_1/1-113","OQQY01","SAMN02711295","['Bilophila_wadsworthia__BilWads6', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Desulfovibrio_sp._6_1_46AFAA__DsvSp231']",NA,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"105",105,"OVYG01.1315.1_12/64-437","OVYG01","SAMEA3708462","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"106",106,"OVYG01.1315.1_13/11-266","OVYG01","SAMEA3708462","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"107",107,"UXRB01.19263.1_2/11-266","UXRB01","SAMEA2155512","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.0724670545663892,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"108",108,"UXRB01.19263.1_3/1-286","UXRB01","SAMEA2155512","['QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"109",109,"UXRB01.66584.1_2/63-175","UXRB01","SAMEA2155512","['QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"110",110,"OZZQ01.3100.1_3/27-294","OZZQ01","SAMN06165154","['QUERY___Moorella_thermoacetica_2_dsrA']",4.406426,TRUE,"QUERY___Moorella_thermoacetica_2_dsrA",TRUE
"111",111,"OZZQ01.2726.1_4/28-293","OZZQ01","SAMN06165154","['QUERY___Moorella_thermoacetica_2_dsrA']",4.430594,TRUE,"QUERY___Moorella_thermoacetica_2_dsrA",TRUE
"112",112,"UPMR01.3615.1_10/63-436","UPMR01","SAMEA2737866","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.0769720545663892,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"113",113,"UPMR01.3615.1_4/63-436","UPMR01","SAMEA2737866","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.0769720545663892,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"114",114,"UPMR01.3615.1_3/11-266","UPMR01","SAMEA2737866","['QUERY___Ley3_66761_scaffold_1025_dsrA']",2e-06,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"115",115,"UPMR01.3615.1_9/11-266","UPMR01","SAMEA2737866","['QUERY___Ley3_66761_scaffold_1025_dsrA']",2e-06,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"116",116,"UPMR01.66066.1_2/2-136","UPMR01","SAMEA2737866","['Bilophila_sp._4_1_30__BilSpec3']",0.0157488645937054,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"117",117,"UPMR01.66066.1_1/11-108","UPMR01","SAMEA2737866","['Bilophila_sp._4_1_30__BilSpec3', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_wadsworthia__BilWads6']",NA,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
